Rank,Name,Platform,Platform Group,Year,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales
15544,Legendary,PC,PC,2008,Shooter,Atari,0,0.01,0,0,0.02
15545,Snow Portable,PSP,PS,2007,Adventure,Prototype,0,0,0.02,0,0.02
15546,Poyo Poyo Kansatsu Nikki,3DS,Nintendo,2012,Action,IE Institute,0,0,0.02,0,0.02
15547,Jinsei Game DS,DS,Nintendo,2006,Misc,Atlus,0,0,0.02,0,0.02
15548,Guitar Freaks & DrumMania: Masterpiece Gold,PS2,PS,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
15549,Broken Sword: The Sleeping Dragon,XB,XBox,2003,Adventure,THQ,0.01,0,0,0,0.02
15550,Reversal Challenge,DS,Nintendo,2009,Misc,Tommo,0.02,0,0,0,0.02
15551,Wild West Shootout,Wii,Nintendo,2010,Shooter,Unknown,0.01,0.01,0,0,0.02
15552,Miyako,PSP,PS,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
15553,Motto NUGA-CEL!,PSP,PS,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
15554,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,PS,2007,Strategy,Konami Digital Entertainment,0,0,0.02,0,0.02
15555,11eyes: CrossOver,PSP,PS,2010,Adventure,5pb,0,0,0.02,0,0.02
15556,Super Dodge Ball,NG,PC,1995,Sports,Technos Japan Corporation,0,0,0.02,0,0.02
15557,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,PSV,PS,2015,Adventure,dramatic create,0,0,0.02,0,0.02
15558,Gon: BakuBakuBakuBaku Adventure,3DS,Nintendo,2012,Action,Namco Bandai Games,0,0,0.02,0,0.02
15559,Style Book: Junior City,DS,Nintendo,2006,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15560,Amatsumi Sora ni! Kumo no Hatate ni,PSV,PS,2015,Adventure,Prototype,0,0,0.02,0,0.02
15561,Garfield's Nightmare,DS,Nintendo,2007,Platform,Game Factory,0.01,0,0,0,0.02
15562,Earth Seeker,Wii,Nintendo,2011,Role-Playing,Kadokawa Shoten,0,0,0.02,0,0.02
15563,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,PS,2015,Action,Arc System Works,0,0,0.02,0,0.02
15564,Lovely x Cation 1 & 2,PSV,PS,2015,Action,5pb,0,0,0.02,0,0.02
15565,Barbie as the Princess and the Pauper,GBA,Nintendo,2004,Adventure,Vivendi Games,0.01,0,0,0,0.02
15566,Blood Bowl: Legendary Edition,PC,PC,2010,Sports,Focus Home Interactive,0,0.01,0,0,0.02
15567,Tantei Opera: Milky Holmes,PSP,PS,2010,Adventure,Unknown,0,0,0.02,0,0.02
15568,Pirates of the Burning Sea,PC,PC,2008,Role-Playing,Koch Media,0,0.01,0,0,0.02
15569,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,PS,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15570,Mary King's Riding School 2,Wii,Nintendo,2009,Simulation,Midas Interactive Entertainment,0,0.02,0,0,0.02
15571,Micro Machines V4,PSP,PS,2006,Racing,Codemasters,0.01,0,0,0,0.02
15572,Entaku no Seito: The Eternal Legend,PSP,PS,2012,Role-Playing,Kadokawa Games,0,0,0.02,0,0.02
15573,New Atelier Rorona: Hajimari no Monogatari,3DS,Nintendo,2015,Action,Tecmo Koei,0,0,0.02,0,0.02
15574,WorldShift,PC,PC,2009,Strategy,Playlogic Game Factory,0.02,0,0,0,0.02
15575,The Crew: Wild Run,PC,PC,2015,Action,Ubisoft,0,0.02,0,0,0.02
15576,Casper's Scare School: Spooky Sports Day,DS,Nintendo,2009,Sports,Blast! Entertainment Ltd,0.02,0,0,0,0.02
15577,7 Roses: A Darkness Rises,PC,PC,2015,Misc,Avanquest Software,0,0.02,0,0,0.02
15578,My Hero: Doctor,DS,Nintendo,2009,Action,Majesco Entertainment,0.02,0,0,0,0.02
15579,Sega Ages 2500 Series Vol. 29: Monster World Complete Collection,PS2,PS,2007,Role-Playing,Sega,0,0,0.02,0,0.02
15580,Bakumatsu Rock: Ultra Soul,PSV,PS,2014,Misc,Marvelous Interactive,0,0,0.02,0,0.02
15581,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,PS,2010,Action,Takara Tomy,0,0,0.02,0,0.02
15582,Cabela's Alaskan Adventure,PS2,PS,2006,Sports,Unknown,0.01,0.01,0,0,0.02
15583,Elf Bowling 1 & 2,DS,Nintendo,2005,Sports,Ignition Entertainment,0.02,0,0,0,0.02
15584,Niko Puchi Girls Runway,3DS,Nintendo,2015,Misc,Happinet,0,0,0.02,0,0.02
15585,MotoGP 14,PSV,PS,2014,Racing,Milestone S.r.l.,0,0.01,0,0,0.02
15586,Bomberman 2,DS,Nintendo,2008,Puzzle,Hudson Soft,0,0.01,0,0,0.02
15587,Arabians Lost: The Engagement on Desert,PS2,PS,2007,Adventure,Prototype,0,0,0.02,0,0.02
15588,Densha de Go! Tokubetsu-hen: Fukkatsu Shouwa no Yamatesen,DS,Nintendo,2010,Simulation,Square Enix,0,0,0.02,0,0.02
15589,Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,PS2,PS,2010,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02
15590,Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,Nintendo,2007,Misc,Gakken,0,0,0.02,0,0.02
15591,SD Gundam Sangokuden Brave Battle Warriors: Shin Mirisha Taisen,DS,Nintendo,2010,Action,Namco Bandai Games,0,0,0.02,0,0.02
15592,Peggle Nights,PC,PC,2008,Puzzle,PopCap Games,0,0.01,0,0,0.02
15593,Starry ? Sky: After Summer,PSP,PS,2013,Misc,Asgard,0,0,0.02,0,0.02
15594,Puzzle Guzzle,PSP,PS,2007,Puzzle,DHM Interactive,0.02,0,0,0,0.02
15595,ESPN NFL Primetime 2002,XB,XBox,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
15596,Gallop Racer Inbreed,PS2,PS,2006,Sports,Tecmo Koei,0,0,0.02,0,0.02
15597,Myth Makers: Super Kart GP,Wii,Nintendo,2007,Racing,Popcorn Arcade,0.01,0,0,0,0.02
15598,Red Ninja: End of Honor,XB,XBox,2005,Action,Vivendi Games,0.01,0,0,0,0.02
15599,Ketsui: Kizuna Jigoku Tachi Extra,X360,XBox,2010,Shooter,5pb,0,0,0.02,0,0.02
15600,Frisbee Disc Freestyle / Frisbee Disc Golf,DS,Nintendo,2007,Sports,DSI Games,0.02,0,0,0,0.02
15601,Call of Duty: Modern Warfare Trilogy,PS3,PS,2016,Shooter,Activision,0,0.01,0,0,0.02
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,PS,2006,Fighting,Ignition Entertainment,0,0,0.02,0,0.02
15603,Emergency 2012,DS,Nintendo,2010,Simulation,Rondomedia,0,0.02,0,0,0.02
15604,Command & Conquer 3: Kane's Wrath,PC,PC,2008,Strategy,Electronic Arts,0,0.01,0,0,0.02
15605,Suzumiya Haruhi-Chan no Mahjong,PSP,PS,2011,Misc,Kadokawa Shoten,0,0,0.02,0,0.02
15606,Tsuki no Hikari: Shizumeru Kane no Satsujin,PS2,PS,2002,Adventure,Victor Interactive,0,0,0.02,0,0.02
15607,Aqua Panic!,DS,Nintendo,2009,Puzzle,Neko Entertainment,0.01,0.01,0,0,0.02
15608,James Bond 007: Blood Stone,PC,PC,2010,Shooter,Activision,0.02,0,0,0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,Nintendo,2009,Misc,Unknown,0,0,0.02,0,0.02
15610,Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,PS,2006,Action,Sega,0,0,0.02,0,0.02
15611,Kong: The Animated Series,GBA,Nintendo,2002,Action,BAM! Entertainment,0.01,0,0,0,0.02
15612,Heavy Fire: Afghanistan,PC,PC,2011,Shooter,Mastiff,0.02,0,0,0,0.02
15613,Let's Dance with Mel B,X360,XBox,2011,Sports,Black Bean Games,0,0.02,0,0,0.02
15614,Agatha Christie: Death on the Nile,PC,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02
15615,The Crew: Wild Run,XOne,XBox,2015,Action,Ubisoft,0,0.02,0,0,0.02
15616,Toukiden 2,PS3,PS,2016,Action,Tecmo Koei,0,0,0.02,0,0.02
15617,Koisuru Otome to Shugo no Tate Portable,PSP,PS,2010,Adventure,Alchemist,0,0,0.02,0,0.02
15618,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,3DS,Nintendo,2012,Action,Irem Software Engineering,0,0,0.02,0,0.02
15619,Nodame Cantabile: Tanoshii Ongaku no Jikan Desu,DS,Nintendo,2010,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15620,Iridium Runners,PS2,PS,2008,Racing,SouthPeak Games,0.01,0.01,0,0,0.02
15621,Ben 10 Omniverse 2,3DS,Nintendo,2013,Action,Namco Bandai Games,0,0.02,0,0,0.02
15622,"Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere",PS2,PS,2007,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02
